epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,63.1581,1.99941,2.81141,1.8499,0.61063,0.24731,0.21965,0.0883,2.11796,2.36825,2.02693,0.000301032,0.000301032,0.000301032
2,123.998,1.97559,2.2853,1.84542,0.68416,0.24103,0.25667,0.10185,2.21447,2.31833,2.1738,0.000603437,0.000603437,0.000603437
3,182.452,1.98094,2.25199,1.87584,0.69091,0.27096,0.3159,0.13277,2.12772,2.00592,2.00237,0.00090346,0.00090346,0.00090346
4,240.447,1.97035,2.14146,1.85613,0.52487,0.30765,0.29614,0.11107,2.25589,1.99948,2.09452,0.000900958,0.000900958,0.000900958
5,298.455,1.95443,2.09131,1.84978,0.49797,0.27896,0.26691,0.10199,2.20763,2.16451,2.09194,0.000894735,0.000894735,0.000894735
6,362.07,1.92787,2.02281,1.83287,0.5544,0.37054,0.34377,0.14905,2.11252,1.89925,2.00056,0.000886777,0.000886777,0.000886777
7,420.552,1.90893,1.99968,1.82137,0.62362,0.38926,0.37587,0.15933,2.16086,1.76853,1.98875,0.000877115,0.000877115,0.000877115
8,479.385,1.9084,1.96477,1.822,0.57135,0.33791,0.35858,0.15341,2.07731,1.81858,1.94849,0.000865787,0.000865787,0.000865787
9,537.278,1.90277,1.92298,1.80866,0.70879,0.36789,0.3911,0.15805,2.12878,1.75262,1.96066,0.000852838,0.000852838,0.000852838
10,596.183,1.87731,1.88519,1.79344,0.58263,0.38147,0.39167,0.16126,2.1119,1.72851,1.94756,0.000838318,0.000838318,0.000838318
11,654.771,1.8595,1.91597,1.78559,0.62509,0.40731,0.39743,0.17131,2.0627,1.66684,1.94195,0.000822285,0.000822285,0.000822285
12,713.503,1.87265,1.83707,1.78568,0.696,0.39512,0.43224,0.18719,2.08322,1.64474,1.92915,0.000804803,0.000804803,0.000804803
13,772.084,1.85279,1.80774,1.77125,0.63397,0.38639,0.41525,0.18129,2.0534,1.63271,1.91208,0.000785939,0.000785939,0.000785939
14,830.81,1.83755,1.78982,1.75111,0.65121,0.39578,0.4231,0.18572,2.10328,1.63521,1.96329,0.00076577,0.00076577,0.00076577
15,888.999,1.84317,1.75962,1.74792,0.74789,0.36441,0.41735,0.16573,2.112,1.70803,1.9949,0.000744374,0.000744374,0.000744374
16,953.206,1.83251,1.73539,1.74734,0.78046,0.35906,0.43476,0.18809,2.08266,1.60776,1.93371,0.000721836,0.000721836,0.000721836
17,1011.53,1.83329,1.72033,1.73848,0.72246,0.41234,0.45466,0.19531,2.08571,1.56558,1.92095,0.000698244,0.000698244,0.000698244
