epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
18,1070.16,1.81823,1.71823,1.75105,0.67192,0.42942,0.41627,0.18492,2.04489,1.56774,1.89596,0.000673693,0.000673693,0.000673693
19,1128.4,1.80909,1.70477,1.72957,0.72059,0.41441,0.44174,0.20291,2.06666,1.50709,1.88979,0.000648278,0.000648278,0.000648278
20,1187.24,1.80518,1.67882,1.73359,0.70577,0.40501,0.45088,0.20198,2.05087,1.49482,1.89235,0.0006221,0.0006221,0.0006221
21,1245.42,1.80546,1.65529,1.73183,0.69845,0.43959,0.46716,0.20755,2.06953,1.49517,1.90863,0.000595262,0.000595262,0.000595262
22,1303.97,1.79953,1.6424,1.72311,0.78177,0.40746,0.46793,0.21385,2.0582,1.49643,1.90536,0.000567871,0.000567871,0.000567871
23,1362.44,1.76312,1.61447,1.69695,0.69938,0.42128,0.44518,0.19888,2.03043,1.43943,1.87101,0.000540034,0.000540034,0.000540034
24,1421.16,1.77967,1.61484,1.70254,0.68129,0.42835,0.4483,0.20953,1.98294,1.4831,1.86472,0.000511861,0.000511861,0.000511861
25,1479.63,1.74957,1.57583,1.68599,0.67191,0.42434,0.4502,0.20803,2.03584,1.49419,1.87273,0.000483464,0.000483464,0.000483464
26,1543.19,1.74676,1.56874,1.68693,0.65458,0.41826,0.44351,0.20836,2.01342,1.41431,1.8566,0.000454955,0.000454955,0.000454955
27,1601.78,1.74815,1.54971,1.67576,0.71657,0.44087,0.47868,0.21947,2.01833,1.40023,1.85321,0.000426445,0.000426445,0.000426445
28,1660.31,1.74118,1.54749,1.68045,0.77894,0.4204,0.45954,0.21494,2.01902,1.44628,1.86061,0.000398048,0.000398048,0.000398048
29,1718.45,1.7234,1.50254,1.65749,0.70708,0.43073,0.46986,0.22631,2.01046,1.43287,1.86481,0.000369875,0.000369875,0.000369875
30,1777.43,1.73177,1.53702,1.67555,0.73131,0.42754,0.46887,0.21897,2.0254,1.3975,1.86324,0.000342038,0.000342038,0.000342038
31,1835.47,1.69492,1.47542,1.6497,0.72336,0.44313,0.47826,0.22762,2.00465,1.37123,1.85121,0.000314647,0.000314647,0.000314647
32,1893.89,1.7149,1.47146,1.64852,0.69738,0.45141,0.47527,0.22691,2.00466,1.37354,1.85275,0.000287809,0.000287809,0.000287809
33,1952.05,1.69401,1.46048,1.63748,0.56458,0.44015,0.4795,0.23284,2.0011,1.36729,1.8319,0.000261631,0.000261631,0.000261631
34,2009.95,1.68461,1.44801,1.63596,0.71255,0.46198,0.48252,0.23139,1.99652,1.3376,1.82721,0.000236216,0.000236216,0.000236216
35,2068.12,1.68039,1.43382,1.62991,0.72446,0.44988,0.46638,0.2221,1.98522,1.33378,1.83253,0.000211665,0.000211665,0.000211665
36,2131.29,1.70169,1.45553,1.64124,0.58115,0.45588,0.48792,0.23386,1.98632,1.32062,1.81853,0.000188073,0.000188073,0.000188073
37,2191.14,1.68528,1.41627,1.62149,0.53587,0.46647,0.48365,0.23192,1.99535,1.31705,1.82984,0.000165535,0.000165535,0.000165535
38,2248.85,1.66921,1.40925,1.63272,0.60319,0.43027,0.48402,0.23366,2.00934,1.33233,1.84908,0.000144139,0.000144139,0.000144139
39,2307.18,1.67121,1.41582,1.62909,0.57546,0.44907,0.48383,0.23338,1.99422,1.32058,1.83629,0.00012397,0.00012397,0.00012397
40,2365.83,1.66072,1.38957,1.61219,0.74043,0.44121,0.48273,0.23244,1.9872,1.31963,1.82796,0.000105106,0.000105106,0.000105106
41,2415.51,1.64977,1.22045,1.6244,0.56568,0.44414,0.48248,0.23387,1.99464,1.30676,1.83113,8.7624e-05,8.7624e-05,8.7624e-05
42,2462.43,1.63038,1.21195,1.617,0.72952,0.44357,0.48979,0.23255,1.99313,1.30736,1.83083,7.15912e-05,7.15912e-05,7.15912e-05
43,2511.49,1.62886,1.17843,1.60958,0.71414,0.46072,0.48976,0.23319,1.99105,1.30596,1.83808,5.70714e-05,5.70714e-05,5.70714e-05
44,2560.41,1.61798,1.17499,1.61423,0.76185,0.44242,0.48905,0.23431,1.99376,1.30962,1.83476,4.41218e-05,4.41218e-05,4.41218e-05
45,2609.78,1.61117,1.161,1.59765,0.75868,0.43921,0.48948,0.23468,1.99954,1.30353,1.83578,3.27937e-05,3.27937e-05,3.27937e-05
46,2658.54,1.62206,1.16433,1.61071,0.7505,0.44874,0.48471,0.23341,1.99675,1.30155,1.83234,2.31316e-05,2.31316e-05,2.31316e-05
47,2705.59,1.61478,1.17268,1.61086,0.7567,0.44646,0.48499,0.23321,1.99709,1.30107,1.83171,1.51737e-05,1.51737e-05,1.51737e-05
48,2759.78,1.61581,1.15687,1.60124,0.76057,0.45067,0.4907,0.23323,1.99713,1.29747,1.83322,8.95139e-06,8.95139e-06,8.95139e-06
49,2808.77,1.60732,1.16524,1.60141,0.76101,0.44734,0.48925,0.23469,1.99463,1.30164,1.83186,4.48928e-06,4.48928e-06,4.48928e-06
50,2857.72,1.60331,1.15183,1.59612,0.76335,0.4441,0.48914,0.2342,1.99616,1.30147,1.8327,1.80496e-06,1.80496e-06,1.80496e-06
