epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,1186.19,2.10499,2.89289,1.72263,0.64169,0.30055,0.25377,0.09957,2.23282,2.29541,1.77559,0.00030274,0.00030274,0.00030274
2,2482.6,2.07109,2.29063,1.73896,0.70206,0.31631,0.31014,0.13405,2.1026,1.95729,1.75329,0.000547955,0.000547955,0.000547955
3,3768.09,2.03137,2.19575,1.72833,0.66544,0.32647,0.29399,0.12211,2.16945,1.8761,1.79235,0.000595092,0.000595092,0.000595092
4,5052.37,1.9706,2.03305,1.68129,0.72176,0.33526,0.33272,0.14415,2.12585,1.87588,1.75839,0.000314647,0.000314647,0.000314647
5,6323.07,1.91077,1.94908,1.64425,0.74136,0.35437,0.35487,0.15731,2.08582,1.78825,1.72008,8.7624e-05,8.7624e-05,8.7624e-05
