epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,1300.48,2.09967,2.91218,1.72767,0.62605,0.28835,0.24437,0.09643,2.17828,2.04245,1.77171,0.000302753,0.000302753,0.000302753
2,2647.72,2.06169,2.34583,1.7401,0.65451,0.30838,0.28449,0.11222,2.19521,1.99305,1.78438,0.000547966,0.000547966,0.000547966
3,4001.13,2.02945,2.18107,1.7263,0.66215,0.32583,0.28666,0.11754,2.15519,1.85856,1.7394,0.0005951,0.0005951,0.0005951
4,5355.65,1.97736,2.07427,1.69146,0.74336,0.32817,0.35421,0.15461,2.11878,1.74738,1.71187,0.000314647,0.000314647,0.000314647
5,6703.88,1.92523,1.99655,1.65404,0.79478,0.3553,0.39079,0.17206,2.05683,1.64681,1.69327,8.7624e-05,8.7624e-05,8.7624e-05
