epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,2597.78,1.74203,1.52853,1.69302,0.82061,0.40192,0.44139,0.19753,2.04107,1.41332,1.87767,0.000533,0.000533,0.000533
43,2658.81,1.75526,1.54378,1.693,0.8417,0.39214,0.44823,0.20893,2.00014,1.38378,1.84294,0.000520392,0.000520392,0.000520392
44,2719.84,1.76579,1.54687,1.69168,0.68868,0.4114,0.4478,0.20613,1.99732,1.39796,1.84205,0.000507682,0.000507682,0.000507682
45,2781.41,1.74305,1.53236,1.68044,0.82602,0.38814,0.4397,0.20127,2.0174,1.44227,1.87421,0.000494883,0.000494883,0.000494883
46,2845.18,1.74523,1.52237,1.68116,0.74186,0.42681,0.45518,0.21357,2.01109,1.3901,1.84565,0.000482006,0.000482006,0.000482006
47,2909.21,1.7464,1.5304,1.67935,0.73613,0.43373,0.46026,0.21389,2.00137,1.38507,1.84817,0.000469066,0.000469066,0.000469066
48,2970.96,1.74016,1.51027,1.68541,0.74209,0.4259,0.46917,0.22001,2.02058,1.35434,1.86903,0.000456073,0.000456073,0.000456073
49,3032.48,1.73732,1.50447,1.67979,0.67306,0.40916,0.44896,0.21685,1.96966,1.38002,1.83378,0.000443043,0.000443043,0.000443043
50,3093.66,1.73945,1.48701,1.67347,0.70798,0.43126,0.46235,0.21311,2.00261,1.36605,1.86033,0.000429986,0.000429986,0.000429986
51,3155.49,1.73447,1.48656,1.67411,0.6489,0.46092,0.45448,0.21136,2.00056,1.35549,1.84868,0.000416917,0.000416917,0.000416917
52,3216.58,1.72459,1.48379,1.6719,0.82416,0.41708,0.44862,0.20444,2.00841,1.38935,1.85855,0.000403847,0.000403847,0.000403847
53,3277.45,1.71952,1.47569,1.66688,0.65613,0.46573,0.45963,0.21687,1.9928,1.36092,1.83344,0.00039079,0.00039079,0.00039079
54,3338.63,1.71397,1.47561,1.65897,0.67981,0.4316,0.45398,0.21441,1.97087,1.37548,1.83858,0.00037776,0.00037776,0.00037776
55,3399.5,1.70567,1.45057,1.64521,0.69675,0.42654,0.46127,0.21834,1.98963,1.37272,1.85487,0.000364767,0.000364767,0.000364767
56,3466.79,1.71677,1.46108,1.6639,0.72346,0.42531,0.45499,0.21428,1.99992,1.36035,1.866,0.000351827,0.000351827,0.000351827
57,3527.7,1.71794,1.46366,1.66659,0.73369,0.42199,0.46437,0.21476,1.99844,1.34193,1.84263,0.00033895,0.00033895,0.00033895
58,3588.74,1.69587,1.45829,1.65302,0.74963,0.42795,0.47153,0.21367,2.01551,1.35035,1.86669,0.000326151,0.000326151,0.000326151
